id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
1092,193 5th Cir,sold,138592,4,1,3913,33.58912339983876,-111.94263992082736
1093,797 8th Rd,active,204492,4,1,2559,33.55505563770335,-111.97091061813718
1094,125 3rd Ave,active,107978,4,2,3894,33.44328291569103,-112.33562107786429
1095,157 Page Wl,active,176170,2,2,1767,33.48339237886157,-112.21003485471789
1096,295 Geary Rd,active,164203,3,1,3120,33.57008251704464,-112.0024088528383
1097,297 1st Wl,sold,203965,2,3,2353,33.449691244154174,-112.1245350635731
1098,434 Franklin Vis,active,233597,3,3,1550,33.481247838672004,-111.94037661897566
1099,643 Wall Pl,pending,157106,5,1,3491,33.57455426663739,-112.03631237148359
1100,21 6th Way,active,170560,2,3,3394,33.37533218542959,-112.22970640208074
1101,119 Indiana Dv,pending,229912,4,3,1289,33.57520592130066,-112.22535800765111
1102,162 Franklin Wl,pending,151908,4,1,2938,33.492127991867896,-111.99420612235869
1103,751 2nd Pl,sold,274822,4,1,1002,33.52607028647732,-111.93017870625417
1104,392 Wall Wl,sold,115995,2,2,2815,33.519220118552596,-112.09055412003254
1105,642 California Cir,sold,106362,2,1,2751,33.39124524853809,-112.23192765040204
1106,525 2nd Way,sold,172466,2,3,3877,33.56123427311488,-112.31785550274877
1107,533 Wall Way,pending,168009,2,2,2978,33.56868660638832,-112.27725552663101
1108,588 Sutter Vis,active,135160,3,2,2973,33.53703732485968,-111.88208275373617
1109,624 Franklin St,active,142487,4,3,2797,33.54222186693149,-112.3214225976711
1110,385 8th Trl,active,222938,5,1,1057,33.376770563378315,-112.33786597459749
1111,364 Euclid Cir,sold,196463,5,3,2541,33.58443277787751,-112.2293235072762
1112,287 California St,pending,220447,4,2,1818,33.58671719711721,-112.18793887820925
1113,622 Franklin Rd,sold,258878,2,1,3054,33.39123775518236,-112.13809151421059
1114,395 Euclid Trl,pending,297102,5,3,3851,33.480318910126066,-112.17334937385208
1115,711 Turk St,active,173010,5,2,1284,33.506015027205585,-112.01942541660534
1116,375 Turk Cir,pending,201317,4,1,3266,33.586237051873674,-111.98146846569088
1117,695 Indiana Vis,pending,224945,5,3,2830,33.36131942398162,-111.99767475224537
1118,130 8th Blvd,sold,118085,2,1,3414,33.37211583530376,-111.99285988401508
1119,566 7th Blvd,pending,288703,5,3,2016,33.52991367958842,-111.88257325298534
1120,221 Post Vis,active,142163,2,1,1695,33.575916924163984,-112.29388888455081
1121,679 Wall Blvd,sold,132224,5,2,3570,33.457284869263255,-111.90872417156119
1122,224 Walnut Vis,sold,132762,2,3,3917,33.39669748110081,-111.98648425691458
1123,785 Blake Way,active,189960,3,1,1605,33.458585733898964,-112.24719411801847
1124,124 5th Way,sold,268933,2,3,2200,33.57026557953332,-111.95441614471882
1125,499 Sutter Pl,sold,265554,3,3,2072,33.432533110846336,-112.13621599939363
1126,524 6th Rd,pending,196462,3,1,1387,33.465545875841684,-112.18234581280633
1127,426 6th Way,pending,245176,4,3,2649,33.44120496713123,-112.30219381115636
1128,377 4th St,active,206079,5,3,2623,33.4420944865922,-111.96053629655881
1129,524 Walnut Ave,pending,104184,5,3,3980,33.529962876053034,-112.1852371967316
1130,108 Bush Trl,pending,292837,4,2,1626,33.41894652295821,-112.11828656564764
1131,749 Wall Blvd,sold,231023,5,1,3571,33.531751304987914,-111.99085170578567
1132,747 California Vis,active,110832,4,3,1293,33.58057106483283,-112.13885597544986
1133,393 Indiana Vis,active,103492,3,1,3647,33.37570353310348,-112.21356358961638
1134,627 Pine Dv,active,269474,5,2,3218,33.36639838757427,-112.02156510901597
1135,88 Franklin Ave,active,292363,4,2,1920,33.47378771681081,-112.25684431974855
1136,467 8th Cir,pending,144208,3,3,1839,33.42217640888411,-112.23004030818015
1137,240 California Way,sold,141836,2,2,3046,33.48937547605287,-112.23379930378962
1138,419 Pine Dv,active,238658,2,1,1391,33.50637812768241,-112.08589753596333
1139,425 1st Vis,sold,255787,3,3,1101,33.56352079414464,-111.94916514422343
1140,716 6th Cir,sold,283692,2,1,2433,33.38700644702556,-111.98277065436022
1141,339 Bush Way,active,111216,4,3,2117,33.46897788671867,-112.36112603943309
1142,230 Franklin St,sold,202230,4,3,1128,33.46986296830631,-112.04807914891244
1143,754 Geary Cir,active,189237,2,1,2480,33.51412258225208,-112.2158709868016
1144,95 Bush Pl,active,267065,2,2,3566,33.50451888491519,-112.35855368842986
1145,585 1st Rd,pending,169075,3,1,3746,33.408735448459616,-112.1370174556551
1146,176 Post Wl,sold,141146,2,1,3937,33.54128557204853,-112.0342134027893
1147,146 Wall Dv,active,208425,4,1,1372,33.414697009323525,-112.15797702745108
1148,291 Geary Way,active,261935,5,2,2609,33.373095044222985,-112.02811915344792
1149,522 9th Vis,active,180054,5,1,1821,33.43320683162594,-111.99480762233354
1150,13 Wall St,sold,189035,3,3,3951,33.37607257090812,-112.27687025154006
1151,52 Post Vis,sold,211553,2,2,1133,33.460293085026585,-112.1308202052314
1152,760 Post Wl,pending,146172,4,1,3850,33.49136935978716,-112.24203646799793
1153,178 Page Vis,active,206512,2,2,2813,33.520028095436636,-111.91634080266614
1154,377 Geary Trl,active,180077,3,3,3618,33.48954343270283,-112.22993204945779
1155,794 Franklin Pl,sold,140836,5,3,2414,33.41091665578152,-112.20071780589062
1156,783 Franklin Vis,active,163288,3,3,3766,33.511412644715264,-112.24236850200496
1157,511 Wall Pl,pending,130922,4,3,1946,33.47478136161256,-111.98200055081787
1158,775 8th Blvd,active,284754,2,2,2227,33.552782091211064,-111.98926289548199
1159,428 Wall St,pending,295692,3,2,1567,33.484281429593445,-112.17648857764074
1160,437 Page Blvd,sold,233784,2,2,3486,33.52896471169528,-111.91340825339238
1161,444 Texas Ave,sold,248646,2,1,1248,33.53534282667216,-112.25771614514407
1162,167 7th St,pending,286761,3,3,2005,33.55818649419507,-112.28967674404443
1163,67 8th Dv,sold,259556,2,1,1148,33.51135194768138,-111.89218205072261
1164,688 1st Way,pending,234990,4,2,2485,33.37626229028946,-112.03309808733208
1165,436 California Blvd,pending,252679,5,1,3083,33.41052331565655,-112.30729822320605
1166,500 Post Trl,sold,219121,5,1,1986,33.55796586790887,-112.02979546486377
1167,119 Mission Way,pending,141159,3,3,2990,33.43772617432092,-112.27788111057386
1168,49 Geary Trl,pending,176410,3,3,1373,33.401999981722525,-111.95908090334629
1169,15 8th Way,active,196577,5,3,2893,33.45452452676599,-112.18874021767785
1170,338 Euclid Trl,sold,169069,4,1,1381,33.54181590594856,-111.92444005576401
1171,471 Mission Way,active,159444,4,1,2585,33.534080583292805,-112.14297297006101
1172,190 Euclid St,pending,223334,2,1,2077,33.37669323308741,-112.123290145876
1173,296 Texas Dv,pending,123396,4,2,2307,33.41376287511111,-112.32220808877776
1174,218 Wall Cir,pending,207292,5,3,3555,33.43980094788877,-112.1706809115026
1175,625 Texas Trl,pending,234368,3,2,3426,33.46854020716362,-112.29164908509692
1176,163 6th Blvd,sold,256217,5,1,1205,33.4947231012962,-112.07858939249859
1177,224 Bush Way,active,192346,4,2,2230,33.418221032215975,-112.28279219452487
1178,667 8th Wl,pending,203703,5,2,3636,33.516266312549625,-112.14551838174833
1179,313 Sutter Pl,sold,229902,5,1,3429,33.52904480205053,-111.94605277366347
1180,20 8th Trl,pending,231196,3,2,1612,33.47234902789303,-112.0352394454757
1181,468 3rd St,sold,242179,4,1,2172,33.473431513831876,-111.92297881254035
1182,168 4th Way,active,198863,5,2,3113,33.47498836585911,-112.32833126069558
1183,710 Mission Wl,pending,297978,4,1,2973,33.448077856371285,-112.09344160686885
1184,436 Pine Ave,pending,226735,2,3,3597,33.55199904186451,-112.12362734275692
1185,744 Turk Pl,pending,114413,3,2,3642,33.45339268921274,-112.2820342253469
1186,417 3rd Way,sold,269523,4,3,1070,33.36916514736811,-111.91592795558213
1187,380 Texas Ave,sold,280030,3,2,3952,33.39658578681039,-111.91797026103585
1188,597 4th Trl,pending,127585,5,3,1497,33.51181582944874,-112.0944425276715
1189,736 Post Cir,pending,270571,5,3,1888,33.53836905660879,-112.31924998686647
1190,141 Bush Dv,active,285430,3,1,3668,33.57948286065388,-112.32060113580143
1191,558 2nd Ave,active,292689,2,2,2063,33.45418795210008,-112.1009933573954
1192,121 3rd Vis,pending,277046,2,3,1539,33.55430265478711,-112.04972513682237
1193,726 Pine Vis,pending,215881,4,2,3010,33.4068835173847,-112.04711730720543
1194,442 Turk Cir,active,250797,2,2,3669,33.48306642448396,-111.95428356113825
1195,219 Turk Way,active,206977,2,2,2804,33.439153097459275,-112.26388526082249
1196,510 Walnut Cir,active,232441,5,1,3234,33.45623172408205,-112.0910414163502
1197,748 7th Way,pending,268330,2,3,2150,33.493627512663835,-112.27306052557182
1198,421 Pine Dv,active,286141,4,1,3916,33.572365920454125,-112.06843844377703
1199,653 8th Ave,sold,118783,5,2,1031,33.560915008884876,-112.12381537130511
1200,323 Texas Ave,pending,298658,3,3,3767,33.4759844093275,-112.1687597518417
1201,793 Texas Dv,active,259390,5,2,1841,33.58560022820634,-112.24305587308503
1202,320 5th Blvd,sold,185096,3,1,3272,33.543534973500236,-112.18789665075705
1203,414 Geary Cir,pending,211618,2,3,1702,33.57915364135713,-112.08229819617407
1204,377 1st Blvd,sold,180740,3,2,2198,33.57638991801719,-112.08857954049728
1205,555 6th Vis,active,209505,3,2,2102,33.410513801970566,-111.90507590980486
1206,111 6th Cir,pending,168449,2,3,3514,33.36218004934616,-111.88210802351746
1207,65 5th Vis,pending,257538,3,1,1147,33.5341742464925,-112.04173387795956
1208,591 Euclid St,pending,277914,3,2,3221,33.47811549653369,-112.2780161837009
1209,650 Euclid Trl,pending,212646,2,1,3361,33.37032715210727,-112.05787406587756
1210,735 Blake Vis,active,140282,4,1,3841,33.39805184087971,-112.01557683175645
1211,760 Sutter Dv,active,263422,5,1,1574,33.41023312293718,-112.25753309638672
1212,713 Mission Wl,active,116131,2,3,2861,33.50928423823487,-111.99741700488995
1213,563 Walnut Trl,sold,130159,2,2,1846,33.53924292293825,-112.01777725247118
1214,528 Wall Cir,sold,123621,5,3,3053,33.41537109183841,-112.00003660454942
1215,403 Post Way,sold,288164,5,3,1433,33.40365517884405,-111.94738521399545
1216,528 Euclid Dv,sold,145027,3,1,3997,33.44207696042728,-112.21025424075067
1217,795 California Blvd,active,205344,2,1,1630,33.49007505629992,-112.10742832954199
1218,784 9th St,pending,230976,4,2,1097,33.431555433625356,-112.15828071003466
1219,78 California Way,active,162063,4,3,2196,33.57944219454197,-112.3022280734522
1220,587 Post Vis,pending,106849,3,2,1098,33.418454510250655,-111.98772562108117
1221,441 6th Ave,sold,167807,3,1,1575,33.458719666997766,-112.08315178159813
1222,604 California St,active,267424,3,2,3332,33.44116084747822,-112.35452184884119
1223,566 Bush St,active,223207,4,2,1112,33.49284225084804,-112.1194376912081
1224,143 Blake Cir,active,151955,4,3,1369,33.44708765684279,-112.04684239155216
1225,795 Post Vis,active,222300,3,2,2722,33.557324706773144,-112.15288566578145
1226,442 1st Cir,active,110872,2,2,1942,33.437859864651166,-112.03801896441065
1227,165 Pine St,sold,222797,4,3,1526,33.403694487241545,-111.99719908415761
1228,477 Blake Way,active,178125,5,2,3354,33.54259442977845,-112.1525744070336
1229,187 1st Vis,sold,213698,4,2,2269,33.39002677769034,-112.23228074276244
1230,613 5th Vis,active,103646,2,1,2907,33.395420334878835,-112.31124699996099
1231,354 Mission Blvd,pending,190717,4,3,3427,33.579610680523196,-112.00934635691789
1232,677 2nd Dv,active,264670,3,3,3818,33.43269731940193,-112.02332522299612
1233,486 5th Wl,pending,236717,2,1,2769,33.46017742734577,-112.23696130789698
1234,324 Sutter Trl,active,233012,3,3,3674,33.4153108527888,-112.28474519630144
1235,517 9th Cir,sold,171135,4,1,2712,33.47363145490454,-112.0683779785955
1236,407 Franklin Wl,active,209463,3,1,2736,33.56634102992677,-111.89779789752977
1237,662 Bush Pl,sold,123414,5,3,2067,33.42823229609771,-112.21125617320247
1238,30 5th Cir,active,176214,3,3,2271,33.522524690817704,-112.04252720479677
1239,27 5th Blvd,sold,208724,3,1,1509,33.433232625628364,-112.28978024729669
1240,720 Page Rd,active,292384,5,2,1838,33.37642509028886,-112.09640262369444
1241,483 8th Wl,sold,139880,3,3,2695,33.40345890447143,-112.32435311007148
1242,570 Bush Blvd,active,191317,5,2,3482,33.51429717028564,-112.07732841434252
1243,685 5th Ave,active,196307,2,2,1292,33.48658345749951,-112.1183982309859
1244,258 6th St,active,261254,2,3,3533,33.45617596890264,-112.3599396820417
1245,474 6th Way,active,262203,4,2,3291,33.38156617698626,-111.87924206739723
1246,557 Euclid Pl,pending,109648,4,2,3525,33.510991742116886,-112.26986233580722
1247,200 California Rd,pending,209629,4,2,3566,33.48914435289879,-111.90798785232433
1248,722 Sutter Ave,pending,158690,5,2,1410,33.550278171983386,-111.98163563246312
1249,251 Turk Blvd,pending,291851,2,1,1944,33.538932026555244,-112.13703930814772
1250,699 Walnut Cir,sold,107289,2,2,1384,33.442982215087056,-111.90133761361467
1251,274 3rd Trl,active,253109,4,1,2159,33.37400540988956,-111.90979069740737
1252,197 Geary Ave,pending,228522,3,2,2308,33.58829751054625,-112.0124408831391
1253,16 Mission Ave,sold,250820,4,1,1159,33.46605467895332,-112.17440701069827
1254,690 7th Trl,active,156444,5,1,1052,33.57429103614218,-112.12961904669953
1255,337 1st Wl,active,259890,5,3,2869,33.52858577759671,-112.11370799381024
1256,195 6th St,pending,113791,4,3,2975,33.54856313579761,-112.20345047233025
1257,12 2nd Rd,pending,106239,3,2,2508,33.367356347228835,-112.1611323321159
1258,49 5th Cir,active,118085,4,1,1835,33.48315862056458,-112.35191181283936
1259,54 Geary Way,sold,298131,4,1,2776,33.38768903212033,-112.16551634132743
1260,67 Turk Way,sold,273284,5,2,1716,33.57674433159013,-112.04484635221294
1261,702 4th Rd,pending,153989,2,3,3279,33.434400268323785,-112.28625839656225
1262,720 1st Cir,sold,157149,3,1,2417,33.53247557720685,-112.04572496954366
1263,729 4th Ave,pending,197748,4,2,1947,33.51906058040811,-112.30400404960676
1264,554 Mission Ave,pending,132583,4,3,3130,33.40239567662521,-112.05068723075274
1265,393 1st Pl,sold,147417,2,1,1251,33.425306282696965,-112.3268121744481
1266,421 Walnut St,active,162360,5,2,1502,33.50060007819481,-112.29525269473696
1267,522 7th Blvd,active,266446,5,1,2656,33.38914572680673,-111.96692007250027
1268,697 Walnut Trl,sold,187619,3,1,2398,33.489417795837,-112.1196299474229
1269,796 Pine Pl,sold,187331,2,3,2576,33.41599709550263,-112.07666585800358
1270,298 Franklin Way,active,293555,2,1,2322,33.53306319892648,-112.00866385915323
1271,769 8th Cir,active,196781,5,3,1861,33.50586741212014,-112.16834767213557
1272,255 3rd Blvd,sold,186436,4,3,2141,33.48065184545675,-112.35518374227071
1273,659 Bush Dv,pending,271669,2,1,2459,33.545116689852264,-112.31112447515319
1274,567 California Vis,sold,198680,2,1,1079,33.455631924189646,-112.0343176455991
1275,202 California Vis,pending,240091,5,1,1071,33.48083403127196,-112.30348027639484
1276,440 3rd Cir,pending,291148,2,1,1863,33.47320033756034,-112.05304014184682
1277,748 7th Rd,sold,295374,4,2,1703,33.555820611464405,-112.35455478513072
1278,45 7th Blvd,pending,267444,3,3,3964,33.40326334465986,-112.29368270724284
1279,62 Geary St,pending,282732,4,1,1530,33.50035076896464,-112.11929376250312
1280,24 California Rd,sold,277625,5,3,2162,33.535658704121914,-112.06793309967935
1281,14 Turk Blvd,sold,147947,4,1,3976,33.47260610327659,-111.93473799537959
1282,570 Turk Ave,pending,109467,4,3,1037,33.48033402066121,-111.9061200573843
1283,788 1st Ave,sold,123691,2,2,3896,33.56664096243972,-112.31759593909806
1284,705 6th Rd,active,262500,2,2,2188,33.58275820078825,-112.18410656949992
1285,67 Walnut Trl,pending,209037,3,2,3756,33.416843353869695,-112.13486507245689
1286,120 Wall Pl,active,245568,3,3,1478,33.51699475794055,-111.96996835278125
1287,532 Texas Way,active,167645,5,3,3824,33.420906031139985,-112.17965816335601
1288,664 6th Pl,sold,124743,5,2,2136,33.55153467479555,-112.07807021962175
1289,181 1st Pl,active,126843,2,1,3361,33.386594880473,-112.27351674123216
1290,199 9th Dv,sold,133485,3,2,1320,33.57939775505844,-112.12056882974403
1291,638 Indiana Blvd,sold,268142,2,2,3746,33.58588689751547,-112.19607395146924
1292,303 Mission Way,pending,176380,3,3,3527,33.43834050423923,-112.11755979410788
1293,729 Geary Pl,pending,226459,5,2,3159,33.53406051635696,-112.00505560473349
1294,147 Geary Cir,active,107058,5,2,3393,33.415679684945694,-112.30974092399542
1295,379 Bush St,sold,140688,4,1,1195,33.539489290321136,-112.35104039097567
1296,338 8th Rd,sold,173425,3,1,1579,33.4096497820392,-111.88658383896828
1297,128 California Cir,active,285951,2,2,1429,33.553034265140646,-112.0802703319328
1298,734 Pine Ave,pending,198579,4,3,2016,33.56825948897244,-112.33401741310598
1299,576 Texas Wl,sold,197486,2,2,2381,33.45770384124171,-112.10925564184743
1300,412 Sutter Cir,active,284325,2,2,3399,33.501950805889685,-111.99001210758676
1301,330 Pine Trl,active,147924,2,3,3930,33.475091406037095,-112.19831180445486
1302,235 9th Trl,pending,279078,4,1,3607,33.4092609535759,-111.93260326929996
1303,764 7th Blvd,sold,168954,4,3,3379,33.5531388634858,-111.94516625451395
1304,627 Texas St,pending,200716,2,2,3691,33.440937446862385,-112.2835163599222
1305,283 3rd St,pending,216111,5,1,1081,33.41265530423921,-112.30137519076354
1306,610 Turk Rd,sold,269752,3,2,1841,33.53458509066873,-112.13869859883643
1307,261 Post Rd,sold,132045,2,1,3977,33.582797411517326,-112.06623830625625
1308,746 6th Trl,sold,117805,4,3,1791,33.47176723379359,-111.97335158550743
1309,360 Mission Rd,active,239030,3,1,2398,33.588978514567344,-111.92253869759485
1310,128 8th Trl,active,206687,2,1,2965,33.49999971454287,-112.15525047173894
1311,196 Turk St,active,189668,2,3,1855,33.58527112822846,-112.18713051271163
1312,710 Walnut Dv,active,192032,2,2,2776,33.381080824017076,-112.17412670198995
1313,429 8th Way,active,296937,3,3,2548,33.361664245975255,-112.3493284446273
1314,253 Blake Pl,pending,159685,5,3,1530,33.425453896509595,-112.05510982899526
1315,485 Walnut Wl,pending,106427,4,3,1694,33.59292349878577,-112.12504452887032
1316,294 8th Way,active,143586,2,1,2570,33.398615601529805,-112.04294352781403
1317,218 6th Way,pending,204292,5,3,2876,33.43738904846475,-112.04845820447713
1318,331 Geary Pl,sold,290449,4,2,3184,33.45524442975278,-111.93274781983703
1319,534 Wall Dv,sold,159845,3,3,3991,33.56739420638646,-112.2937822504957
1320,426 Pine Trl,sold,260391,3,3,3255,33.434900055077335,-112.12303857805817
1321,753 Sutter Dv,pending,257986,3,3,1217,33.3768054113484,-112.21911696497786
1322,296 8th Ave,active,253402,4,3,1923,33.513116930694935,-112.2158858464411
1323,172 2nd Pl,active,179520,2,3,2932,33.49389571698803,-111.88613714403716
1324,191 Turk Rd,active,266116,3,2,1151,33.566211868175486,-112.3317580507111
1325,345 6th Vis,active,273438,4,3,1939,33.52680448709102,-112.22050658483082
1326,175 Texas Cir,active,272024,4,1,2806,33.42516645736402,-112.24794443415831
1327,72 Franklin Blvd,sold,229932,5,3,2782,33.45657776864482,-112.0031452926703
1328,260 Franklin Vis,active,113990,4,1,3443,33.41220352366027,-112.30007998505752
1329,647 8th Wl,active,102010,4,1,3694,33.3713080048047,-112.15533347912688
1330,109 Post Vis,pending,286987,3,2,2594,33.53315544111529,-112.18057575559608
1331,122 Indiana Pl,sold,129474,5,3,2481,33.584372177903596,-112.2993733947705
1332,365 8th Rd,pending,114280,5,3,2044,33.54752782606059,-112.03648250927822
1333,145 Blake Pl,sold,259593,5,2,1358,33.43733487528405,-112.04849306227592
1334,586 Indiana Pl,active,275926,5,2,2122,33.4239308622082,-112.01096187598849
1335,353 California Ave,active,177462,3,3,3743,33.42374165611386,-112.01930391637516
1336,146 8th Blvd,pending,253599,2,3,2444,33.58891836310318,-112.18989665981519
